2	Z900003		UPH - Honoraires de garde	0	20,00
3	Z900000		PRODUIT INCONNU TVA  2.10	0	2,10
14	0146100	3400301468160	BOIRON CALADIUM SEGUIN. 9CH GRANULES 4G	405688	2,10
25	0298123	3400302987936	BOIRON EUPHRASIA OFF. 15CH GRANULES 4G	405688	2,10
27	0321129	3400303217933	BOIRON F.S.H. 15CH GRANULES 4G	405688	2,10
31	0368125	3400303687934	BOIRON HISTAMINUM 15CH GRANULES 4G	405688	2,10
35	0406104	3400304068169	BOIRON KALIUM MUR. 9CH GRANULES 4G	405688	2,10
63	0644105	3400306448167	BOIRON SABADILLA OFF. 9CH GRANULES 4G	405688	2,10
71	0819071	3400308198121	BOIRON ZINCUM MET. 5CH GRANULES 4G	405688	2,10
7 037	0380103	3400303808162	BOIRON HYPOTHALAMUS 9CH GRANULES 4G	405688	2,10
10 353	6614074	3595896614075	APAR AEROSOL DESINFECTANT PARASITAIRE 200ML	402632	20,00
18 357	3011139	3400930111390	BEVITINE 250MG COMPRIME 20	400577	2,10
18 370	6359877	4042809000917	HYPAFIX SPARADRAP 10M X 10CM	404777	20,00
18 528	6441260	3401064412605	JELONET PANSEMENT GRAS 10CM X 10CM 10	402021	20,00
24 856	6418953	3282779003131	AVENE EAU THERMALE AEROSOL 300ML	400139	20,00
25 025	3242910	3400932429103	VITAMINE C UPSA 1000MG COMPRIME EFFERVESCENT 20	404605	10,00
25 811	3259299	3400932592999	ARTHRODONT 1% PATE GINGIVALE 80G	401700	10,00
27 355	3482382	3400934823824	ELUDRIL PRO SOLUTION PR BAIN BOUCHE 200ML	401700	2,10
27 356	3446417	3400934464171	PAROEX 0.12% SOLUTION PR BAIN BOUCHE 300ML	402413	2,10
28 281	3219408	3400932194087	BETADINE TULLE 10% PANSEMENT MEDICAMENTEUX 10	405809	2,10
28 675	7103803	3401071038034	BD AIGUILLE STYLO MF+  8MM X 0MM25 100	400179	5,50
29 068	3340653	3400933406530	GIFRER ALCOOL MODIFIE SOLUT PR APPLIC LOCALE 250ML	400932	2,10
30 023	3065253	3400930652534	MAXIDROL COLLYRE 3ML	400042	2,10
30 038	3192307	3400931923077	SMECTA 3G ORANGE VANILLE POUDRE PR SUSP BUV SAC 30	403737	2,10
30 040	3198356	3400931983569	MAXIDROL POMMADE OPHTALMIQUE 3G5	400042	2,10
30 041	3204654	3400932046546	CYTEAL SOLUTION ANTISEPTIQUE MOUSSANTE 250ML	401695	2,10
30 042	3207026	3400932070268	FLAMMAZINE CREME 50G	400552	2,10
30 051	3242175	3400932421756	ACUPAN SOLUTION INJECTABLE AMPOULE 2ML 5	400214	2,10
30 052	3244027	3400932440276	GELOX SUSPENSION BUVABLE SACHET 30	403737	2,10
30 060	3279066	3400932790661	OTIPAX SOLUTION PR INSTILLATION AURICULAIRE 16G	400214	2,10
30 079	3337817	3400933378172	DRILL SS SUCRE PASTILLE A SUCER 24	401700	10,00
30 189	3442997	3400934429972	TOBRADEX COLLYRE SUSPENSION 5ML	400042	2,10
30 265	3289716	3400932897162	EUPHYTOSE COMPRIME 120	401843	10,00
30 266	3291328	3400932913282	BISEPTINE SOL PR APPLICATION LOCALE VAPO 100ML	401843	2,10
30 268	3291819	3400932918195	TARDYFERON B9 COMPRIME 30	401697	2,10
30 271	3293534	3400932935345	CLARADOL 500MG CAFEINE COMPRIME QUADRISECABLE 16	401843	2,10
30 276	3344958	3400933449582	PERMIXON 160MG GELULE  60	401697	2,10
30 277	3353153	3400933531539	ASPIRINE UPSA 1000MG COMPRIME EFFERVESCENT 20	404605	2,10
30 279	3320797	3400933207977	CLARADOL CAFEINE 500MG/50MG CPR EFFERV SECABLE 16	401843	2,10
30 282	3404376	3400934043765	HYTRINE 1MG COMPRIME 15	406044	2,10
30 285	3442402	3400934424021	TRANSIPEG 5G9  POUDRE PR SOLUTION BUVABLE STICK 20	401843	2,10
30 291	3072879	3400930728796	NIFLURIL 250MG GELULE 30	404605	2,10
30 296	3130536	3400931305361	BACTRIM NOURRISSON ENFANT SUSPENSION BUVABLE 100ML	401842	2,10
30 303	3188636	3400931886365	NIFLURIL ENFANT 400MG SUPPOSITOIRE SECABLE 8	404605	2,10
30 307	3234017	3400932340170	FLUVERMAL 100MG COMPRIME 6	500772	2,10
30 325	3257001	3400932570010	EFFERALGANMED  500MG COMPRIME EFFERVESCENT SEC 16	404605	2,10
30 327	3264432	3400932644322	ROCALTROL 0MCG25 CAPSULE MOLLE 30	401842	2,10
